date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-10-24,6846,22000,1668200,76.0,76.0,75.0,75.1,-0.9,19,76.05519355113256,77.0426743892494,78.64511835770728,81.96813509279079
2023-10-25,6846,6000,451900,75.6,75.6,75.1,75.1,0.0,6,75.73679570075504,76.68946086393133,78.33684719616751,81.76311613479703
2023-10-26,6846,5000,373000,74.0,75.0,74.0,75.0,-0.1,4,75.49119713383669,76.38228616139835,78.04668657041381,81.56123207107174
2023-10-27,6846,12000,902400,75.0,77.0,75.0,77.0,2.0,12,75.9941314225578,76.49459776841684,77.95567034689957,81.42507588984571
2023-10-30,6846,1000,76100,76.1,76.1,76.1,76.1,-0.9,1,76.02942094837186,76.42285271961377,77.79430770803873,81.26611840059658
2023-10-31,6846,10000,753800,75.7,75.7,75.1,75.2,-0.9,10,75.75294729891458,76.20051586150218,77.56871573342667,81.08504023938474
2023-11-01,6846,4000,301700,75.2,75.5,75.2,75.5,0.3,4,75.66863153260972,76.07314934122905,77.38882740878087,80.91832262029862
2023-11-02,6846,11000,835200,76.0,76.0,75.6,75.6,0.1,10,75.64575435507315,75.98712218827832,77.23327719932166,80.75956672118524
2023-11-03,6846,6000,455000,75.6,76.0,75.4,76.0,0.4,6,75.76383623671543,75.98946360859135,77.12603570372848,80.61749010264239
2023-11-06,6846,2000,151300,76.0,76.0,75.3,75.3,-0.7,2,75.60922415781029,75.86410658884746,76.96724999036078,80.45875905480231
2023-11-07,6846,2000,150800,75.3,75.5,75.3,75.5,0.2,2,75.57281610520685,75.7979053908752,76.83966303467724,80.31073639645001
2023-11-08,6846,14000,1058700,75.7,76.0,75.5,76.0,0.5,11,75.71521073680456,75.83464986526153,76.76664885774879,80.18205769804852
2023-11-09,6846,157000,11368300,75.3,75.3,71.0,71.5,-4.5,124,74.31014049120304,75.04653170794124,76.3086793918576,79.92289179661424
