date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-07-14,6708,35000,1687850,47.55,48.9,47.5,48.15,0.6,30,48.50895401244193,49.24446451393495,50.38486507157857,52.172419815365224
2023-07-17,6708,31000,1475800,48.0,48.0,47.3,47.6,-0.55,19,48.205969341627956,48.945470965946775,50.1427028914413,52.03592967162298
2023-07-18,6708,27000,1278050,47.45,47.5,47.2,47.3,-0.3,22,47.9039795610853,48.646294426683724,49.8955113356638,51.89455863664916
2023-07-19,6708,35000,1651650,47.1,47.5,46.9,47.0,-0.3,33,47.60265304072353,48.34696816728668,49.64372774125825,51.74845240868948
2023-07-20,6708,20000,942800,47.5,47.5,47.0,47.1,0.1,17,47.43510202714902,48.120246682325465,49.4225340246271,51.609692635295765
2023-07-21,6708,21000,994650,47.15,47.5,47.15,47.4,0.3,18,47.42340135143268,47.98929274008447,49.24666150074648,51.48403016857052
2023-07-24,6708,58000,2803750,47.6,49.0,47.6,48.1,0.7,47,47.648934234288454,48.009421332796386,49.14695180502939,51.383014342643044
2023-07-25,6708,36000,1731550,48.2,48.35,48.0,48.0,-0.1,27,47.7659561561923,48.00770836319704,49.047216865461614,51.28202883987758
2023-07-26,6708,22000,1060200,48.15,48.3,48.0,48.0,0.0,18,47.84397077079487,48.00630684261576,48.95615452933452,51.184057829731984
2023-07-27,6708,24000,1166700,48.15,49.5,48.15,48.3,0.3,23,47.995980513863245,48.059705598503804,48.89909761374021,51.097966551232524
2023-07-28,6708,36000,1757850,48.3,49.4,48.15,49.4,1.1,33,48.46398700924216,48.30339548968493,48.94265434298019,51.047280982539014
2023-07-31,6708,20000,984200,49.4,49.5,49.0,49.1,-0.3,18,48.67599133949477,48.44823267337858,48.95633657402539,50.989153192015465
2023-08-01,6708,15000,730850,48.85,48.95,48.5,48.5,-0.6,14,48.61732755966318,48.457644914582474,48.91665513280579,50.9148501116568
2023-08-02,6708,29000,1382100,48.25,48.3,46.8,46.85,-1.65,25,48.028218373108785,48.165345839203844,48.73694599082268,50.79351130235361
